foodName,foodSearchSum,foodSum2004,foodSum2005,foodSum2006,foodSum2007,foodSum2008,foodSum2009,foodSum2010,foodSum2011,foodSum2012,foodSum2013,foodSum2014,foodSum2015,foodSum2016
peach,20974,1093,1143,1141,1176,1362,1377,1504,1765,1917,2114,2037,2114,2229
pear,22737,1379,1329,1423,1617,1736,1703,1674,1954,1946,2096,2030,1978,1869
peppermint,6634,305,385,373,410,406,425,466,621,655,643,615,642,684
persimmon,13625,1120,877,806,958,885,1051,949,1034,1175,1232,1236,1192,1110
pho,22446,565,693,923,1118,1089,1182,1442,1955,2111,2363,2579,2928,3486
pie,8572,527,532,543,543,575,605,615,719,746,800,770,839,758
pina-colada,24173,1472,1577,1592,1614,1529,1602,1722,2038,2137,2156,2115,2288,2331
pineapple,23339,1011,1079,1184,1261,1382,1559,1596,1901,2090,2417,2556,2566,2737
pizza,35749,1463,1701,1896,2146,2234,2242,2466,3252,3257,3349,3624,3937,4172
plum,15265,1905,1820,1267,973,908,907,927,914,1047,1327,1246,1085,954
pomegranate,21062,943,1150,1512,1598,1738,1760,1627,1773,1794,2039,1768,1732,1631
popcorn,24764,1156,1186,1261,1357,1410,1493,1473,1800,2487,3280,2966,2563,2335
pork,25559,1329,1350,1404,1483,1636,1810,1780,2215,2220,2462,2475,2705,2655
pork-chops,32007,1091,1282,1463,1574,1764,2039,2141,2912,3256,3492,3567,3788,3616
potato,22332,957,1055,1135,1210,1359,1518,1606,1890,2010,2238,2373,2424,2530
potato-gratin,8691,317,361,405,459,532,671,719,767,840,907,912,909,892
pot-pie,16826,555,601,695,811,902,1078,1133,1539,1754,2089,2085,1854,1740
pummelo,22048,1630,1521,1234,1326,1452,1604,1663,1642,1859,1894,1979,1961,2284
pumpkin,8921,459,491,532,565,570,606,656,830,828,905,865,828,782
pumpkin-spice-latte,4475,75,105,84,86,74,129,182,309,484,628,766,771,782
quince,24439,2341,1760,1753,1645,1605,1855,2083,1717,1786,2077,1907,1993,1915
quinoa,21279,220,264,324,473,715,914,1321,1890,2708,3494,3322,2948,2691
radish,25218,976,874,924,1150,1356,1686,1785,2091,2313,2709,2940,3089,3295
ravioli,35535,1509,1654,1983,2161,2297,2767,3049,3387,3330,3410,3313,3346,3296
redcurrant,20106,2248,1889,1547,1444,1478,1575,1511,1014,1171,1343,1455,1749,1684
red-wine,22536,964,1088,1218,1283,1350,1533,1694,2049,2140,2224,2233,2359,2393
rhubarb,12929,769,810,782,792,891,1026,1011,1094,1029,1235,1173,1158,1160
risotto,30619,926,1132,1339,1696,2019,2545,2760,3070,3180,3288,3060,2828,2779
rosemary,20285,934,956,1061,1131,1252,1453,1537,1827,1940,2080,2055,2017,2043
salad,28870,1363,1432,1548,1611,1744,1993,2157,2419,2651,2934,2957,2989,3046
salmon,39821,2292,2359,2312,2414,2417,2594,2560,3067,3596,3899,3927,4152,4232
sex-on-the-beach,29430,1658,1748,1893,1938,1961,2064,2258,2877,2747,2600,2449,2610,2562
shallot,20342,757,874,1070,1194,1389,1516,1614,1882,1937,2042,2106,1986,1963
shirley-temple,6435,444,392,378,316,303,320,372,598,664,603,689,594,765
shrimp,23428,1415,1199,1145,1340,1720,2518,2644,1698,1750,1869,1908,2084,2139
sidecar,25789,2039,1846,1576,1435,1362,1353,1620,2024,2134,2310,2653,2829,2569
smoothie,27766,1168,1235,1279,1250,1258,1336,1622,1992,2690,3470,3613,3486,3368
soup,25771,1332,1404,1414,1499,1653,1827,1862,2187,2366,2580,2588,2521,2494
sour-cherry,16293,960,952,974,834,925,924,953,1346,1329,1693,1734,1919,1745
spaghetti,34918,1518,1720,1888,1953,2120,2389,2512,2948,3109,3413,3485,3768,4037
spinach,30268,1415,1490,1652,1563,1790,2035,2188,2608,2905,3264,3195,3061,3066
star-anise,16258,1030,1037,792,746,876,1108,1117,1259,1369,1584,1684,1745,1909
stew,23199,1102,1161,1217,1298,1435,1611,1685,2073,2155,2415,2392,2336,2287
strawberry,25453,1261,1410,1425,1471,1525,1653,1740,2185,2423,2601,2516,2551,2691
sushi,41019,1899,2148,2489,2734,2796,2834,3151,3691,3614,3659,3692,3974,4275
sweet-cherry,10007,2085,1614,1210,739,816,713,540,390,392,401,396,356,353
sweet-potato,5074,180,217,233,255,286,330,338,424,482,542,553,623,609
swiss-chard,26893,728,844,998,1179,1536,1962,2416,2788,3035,3296,2968,2699,2431
taco,24011,596,693,785,894,1059,1278,1522,2025,2477,2802,2894,3179,3798
tamale,8290,485,511,470,479,503,522,549,657,686,767,805,915,941
tea,37803,2218,2410,2718,2821,2691,2385,2370,2696,2905,3177,3556,3927,3870
tequila-sunrise,26840,1035,1212,1399,1520,1608,1658,1881,2665,2640,2723,2643,2871,2956
tom-collins,29467,1294,1727,1644,1480,1553,1425,1927,2951,3006,3179,2996,3261,2963
turkey,2888,144,151,158,169,183,196,199,254,258,271,273,318,313
turmeric,18222,530,513,516,639,812,1021,1144,1129,1340,1798,2216,2664,3880
turnip,17160,798,794,833,883,1025,1178,1234,1480,1660,1836,1915,1798,1728
watermelon,12777,471,509,540,574,696,708,819,1005,1186,1350,1565,1630,1720
whiskey-sour,19236,848,831,954,965,964,979,1097,1529,1801,2118,2147,2464,2532
white-russian,19341,1213,1415,1374,1324,1331,1198,1380,1740,1628,1583,1580,1689,1869
white-wine,29273,1261,1348,1500,1670,1765,2083,2299,2764,2936,2942,2907,2883,2914
wild-leek,9797,1193,977,706,544,429,593,602,728,767,769,773,839,884
